timestamp,alertType
2025-08-01 16:40:25.821577 UTC,high
2025-08-01 16:40:30.861176 UTC,high
2025-08-01 16:40:35.894228 UTC,high
2025-08-01 16:40:40.929348 UTC,high
2025-08-01 16:43:41.017501 UTC,high
2025-08-01 16:43:46.050213 UTC,high
2025-08-01 16:43:51.092740 UTC,high
2025-08-01 16:43:56.131372 UTC,high
2025-08-01 16:44:01.171394 UTC,high
2025-08-01 16:44:06.209061 UTC,high
2025-08-01 16:44:11.249226 UTC,high
2025-08-01 16:44:16.283520 UTC,high
2025-08-01 16:44:21.323013 UTC,high
2025-08-01 16:44:26.363238 UTC,high
2025-08-01 16:44:31.406726 UTC,high
2025-08-01 16:44:36.433742 UTC,medium
2025-08-01 16:44:57.750970 UTC,high
2025-08-01 16:45:02.797487 UTC,high
2025-08-01 16:45:07.839071 UTC,high
2025-08-01 16:45:12.878515 UTC,high
2025-08-01 16:45:17.916798 UTC,high
2025-08-01 16:45:22.957748 UTC,high
2025-08-01 16:45:27.998052 UTC,high
2025-08-01 16:45:33.035781 UTC,high
2025-08-01 16:45:38.075814 UTC,high
2025-08-01 16:45:43.116907 UTC,high
2025-08-01 16:45:48.183516 UTC,high
2025-08-01 16:45:53.217935 UTC,high
2025-08-01 16:45:58.258786 UTC,high
2025-08-01 16:46:03.295721 UTC,high
